# Accelerometer Data File
# Started @Sat Jul 02 13:46:35 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
0.248 -9.672 0.325 40
0.344 -9.768 0.363 40
0.344 -9.768 0.325 40
0.287 -9.519 0.612 40
0.421 -9.251 0.861 41
0.689 -9.193 0.957 40
1.053 -9.442 2.221 40
1.11 -9.078 2.834 40
1.13 -8.829 2.873 40
1.532 -8.753 3.122 40
1.57 -8.485 3.16 40
2.068 -8.331 3.792 41
2.413 -8.025 4.367 41
2.738 -8.082 4.443 40
2.968 -7.776 4.73 39
3.639 -8.312 5.114 40
3.658 -7.718 6.014 40
2.968 -6.799 6.244 40
2.604 -6.339 7.431 41
2.355 -5.841 7.278 40
2.087 -4.865 8.312 40
1.474 -4.328 8.389 40
0.325 -3.792 7.144 40
1.474 -3.6 9.806 40
2.528 -1.647 10.438 40
2.777 -1.628 9.346 40
2.298 -1.34 9.327 41
1.666 -0.823 9.423 40
2.03 -0.306 9.212 40
1.8 -0.172 9.059 40
1.11 -0.153 9.423 40
1.283 -0.306 9.519 40
1.206 -0.21 9.595 41
1.225 -0.095 9.634 40
1.149 0.076 9.844 40
1.091 0.248 9.71 40
1.168 0.44 9.73 40
-0.172 0.804 10.4 44
0.421 0.881 10.093 36
0.861 1.053 9.653 41
0.842 0.689 9.615 40
0.363 0.517 9.672 40
0.593 0.689 9.653 40
0.612 0.804 9.634 40
0.344 0.9 9.634 40
0.478 0.881 9.538 40
0.344 0.861 9.825 41
0.421 1.053 9.864 40
0.478 0.957 9.787 40
